metric,value
stops,20
baseline_distance_km,240.17
nearest_neighbor_distance_km,86.22
two_opt_distance_km,85.58
distance_saved_km,154.59
distance_saved_pct,64.4
est_time_saved_min,371.0
est_fuel_saved_l,12.37

stop_id,x_km,y_km
ORD-100,-4.23,-8.38
ORD-101,3.62,-10.26
ORD-102,0.86,-3.22
ORD-103,-10.61,0.18
ORD-104,-11.1,-1.59
ORD-105,-10.32,-9.82
ORD-106,-1.81,7.84
ORD-107,-9.03,-6.64
ORD-108,3.06,10.75
ORD-109,1.85,-2.48
ORD-110,11.43,-10.88
ORD-111,8.6,-5.05
ORD-112,-8.54,-9.17
ORD-113,-4.6,7.59
ORD-114,-7.66,1.96
ORD-115,3.33,-3.06
ORD-116,1.15,-10.49
ORD-117,-10.57,-7.06
ORD-118,4.33,-1.74
ORD-119,-4.46,2.05
